Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B,BLEU p-value B Adjusted
1,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-25/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.48460672807191,0.3146853146853147,38.477759935404855,0.4853375039793626,0.3640215716486903
2,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-27/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.344823253102426,0.0919080919080919,38.34330002437365,0.4925578898682623,0.27058823529411763
3,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-7/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.27443641579226,0.0389610389610389,38.26509232131989,0.5004058338012065,0.2067137809187276
4,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-15/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.47643772439564,0.3046953046953047,38.4710432782215,0.5010688572483204,0.35924617196702
5,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-57/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.354687127182615,0.1018981018981019,38.34880158814829,0.5038409707909608,0.27692307692307694
6,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-23/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.68010579416809,0.0939060939060939,38.67236385149872,0.524798638931685,0.2711538461538462
7,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-65/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.1969605435807,0.0099900099900099,38.18734732828548,0.5039151424350976,0.12244897959183564
8,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-21/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.3727103634763,0.1228771228771228,38.36435434925997,0.5235983741743944,0.2820318423047762
9,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-70/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39434933470167,0.1368631368631368,38.38938626651549,0.5285535462379514,0.28750826173165883
10,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-80/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.544922111967466,0.3106893106893107,38.53574572423869,0.5099429353110807,0.3621894409937888
11,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-55/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.423128461277166,0.1728271728271728,38.41868658031148,0.5146032340631912,0.2984473835537665
12,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-11/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.279079323288414,0.0449550449550449,38.27778963538787,0.5043848779169444,0.22274881516587652
13,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-78/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.30633074879096,0.0569430569430569,38.30169676970973,0.5100883728225902,0.23983169705469828
14,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-72/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.44995879134924,0.2307692307692307,38.44703014121832,0.5338150006877882,0.3181818181818181
15,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-73/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.503583285510814,0.3846153846153846,38.501213611380855,0.5156478667343656,0.40370499825235934
16,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-64/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.63846880849123,0.1338661338661338,38.62522144896257,0.499775405044236,0.2869379014989292
17,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-66/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.37222095589622,0.1198801198801198,38.36335034219857,0.4977040601991724,0.2820318423047762
18,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-63/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.35269243825444,0.0979020979020979,38.344843932009695,0.5153970334355797,0.27247451343836887
19,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-13/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32482538551252,0.0719280719280719,38.3177590451692,0.4945667934664293,0.2556213017751478
20,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-69/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36523390122192,0.1228771228771228,38.35620534582849,0.4874519971639337,0.2820318423047762
21,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-39/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.63612119960418,0.1378621378621378,38.63679487962352,0.5156580775980899,0.28750826173165883
22,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-44/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.34956016267201,0.0939060939060939,38.348761767856224,0.5292945012289394,0.2711538461538462
23,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-79/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.479593736704906,0.3056943056943056,38.47401604734546,0.4977395749596347,0.35957696827262037
24,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-43/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39907108063727,0.1298701298701298,38.39140461158197,0.4989092935453705,0.2846715328467152
25,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-40/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32556481875696,0.0769230769230769,38.31539954383064,0.4969348123197683,0.25856353591160214
26,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-6/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39943174681148,0.1528471528471528,38.39491644052968,0.5128678589832667,0.2905027932960893
27,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-31/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.29092193285269,0.0579420579420579,38.28702715588452,0.4969471244979893,0.24200278164116812
28,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-56/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.41876702878628,0.1728271728271728,38.41376137517522,0.5107848525956591,0.2984473835537665
29,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-46/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.1772184852324,0.0089910089910089,38.16969298987122,0.5146745613919919,0.1144067796610158
30,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-61/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.42829998983544,0.1978021978021978,38.41922011922233,0.5164026088436664,0.3055555555555556
31,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-32/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36464352126359,0.1008991008991009,38.35876726511584,0.5225370339772688,0.27595628415300544
32,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-20/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.33015861763523,0.0859140859140859,38.319539764875,0.5016646795810438,0.2684703433922997
33,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-14/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.4212411841708,0.1798201798201798,38.415334962155626,0.5195519449053414,0.30066815144766146
34,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-41/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.56000175900408,0.2817182817182817,38.554697626922845,0.4909481378177887,0.34643734643734647
35,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-29/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.40795946988108,0.1648351648351648,38.40231228603869,0.5253136101220726,0.29481834425253123
36,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-34/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.54476155534717,0.3146853146853147,38.54169472987457,0.5170078486808194,0.3640215716486903
37,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-49/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.16504348980167,0.0079920079920079,38.157851373711146,0.5131515311014461,0.10666666666666544
38,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-51/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.43559864451429,0.1908091908091908,38.43243335290803,0.5111779143051081,0.30395778364116094
39,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-68/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.3282046338724,0.0909090909090909,38.32329993959571,0.5306963719428062,0.27002967359050445
40,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-75/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.51478816145098,0.4215784215784215,38.51500744488086,0.5010534388412609,0.42341137123745815
41,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-16/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.42903020351191,0.1838161838161838,38.42521493511664,0.498462462363193,0.3029637760702525
42,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-19/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36102779845333,0.1068931068931069,38.35161089695567,0.5056317084109949,0.2813321647677476
43,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-10/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.38360178604212,0.1358641358641358,38.3751058538986,0.5023746707049028,0.28732394366197167
44,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-62/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.4990846866827,0.3876123876123876,38.48992039323673,0.5013823599276712,0.4052924791086351
45,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-76/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.29727556281856,0.0489510489510489,38.29483314973161,0.4976251048091242,0.22685185185185164
46,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-52/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.427617727400325,0.1828171828171828,38.421507662482426,0.4995777870797404,0.30198019801980197
47,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-8/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.324037168168815,0.0789210789210789,38.31497357813598,0.5109807590402724,0.25929978118161917
48,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-24/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32557938132232,0.0729270729270729,38.319444988186106,0.5188787119038807,0.2561403508771929
