Pair Number,System A,System B,BLEU Score A,BLEU p-value A,BLEU Mean A,BLEU CI A,BLEU Score B,BLEU p-value B,BLEU Mean B,BLEU CI B
25,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-40/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.32556481875696,0.07692307692307693,38.315399543830644,0.4969348123197683
26,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-6/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.39943174681148,0.15284715284715283,38.39491644052968,0.5128678589832667
27,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-31/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.29092193285269,0.057942057942057944,38.28702715588452,0.4969471244979893
28,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-56/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.41876702878628,0.17282717282717283,38.41376137517522,0.5107848525956591
29,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-46/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.1772184852324,0.008991008991008992,38.16969298987122,0.5146745613919919
30,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-61/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.42829998983544,0.1978021978021978,38.41922011922233,0.5164026088436664
31,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-32/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.36464352126359,0.1008991008991009,38.35876726511584,0.5225370339772688
32,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-20/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.33015861763523,0.08591408591408592,38.319539764874996,0.5016646795810438
33,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-14/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.421241184170796,0.1798201798201798,38.415334962155626,0.5195519449053414
34,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-41/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.560001759004074,0.2817182817182817,38.554697626922845,0.4909481378177887
35,Baseline: results/rethinking/evaluation_logs/model-save-dir-5/clean.result,results/rethinking/evaluation_logs/model-save-dir-29/clean.result,38.512926110111074,,38.50436929198643,0.5339079467856784,38.40795946988108,0.16483516483516483,38.40231228603869,0.5253136101220726
